Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789667321,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789667322,5,,Aggregated,0.000000,0.000000,26,27,31,32,34,34,34,34,34,34,34,9,0,26,24.695944445233586,15.69730000483105,34.24420000374084,3098.6666666666665
1789667323,15,,Aggregated,0.000000,0.000000,17,20,24,26,31,32,34,34,34,34,34,22,0,16,18.004727273033826,4.9379000047338195,34.24420000374084,3758.2727272727275
1789667324,20,,Aggregated,9.000000,0.000000,17,19,20,20,27,32,34,34,34,34,34,36,0,16,15.995980555493993,4.15699999575736,34.24420000374084,4482.472222222223
1789667325,25,,Aggregated,9.500000,0.000000,19,20,22,25,27,31,32,34,34,34,34,54,0,18,17.21286851830815,4.15699999575736,34.24420000374084,5915.981481481482
1789667326,30,,Aggregated,11.000000,0.000000,19,22,24,26,29,32,34,37,37,37,37,77,0,19,18.268119480386044,4.15699999575736,36.59390000393614,7400.480519480519
1789667327,35,,Aggregated,11.750000,0.000000,19,24,26,27,32,40,45,48,48,48,48,97,0,19,19.28538247409154,4.15699999575736,47.63980000279844,7279.855670103093
1789667328,40,,Aggregated,13.000000,0.000000,20,25,29,32,37,43,48,49,50,50,50,125,0,20,21.199558399734087,4.15699999575736,49.85859999578679,9084.688
1789667329,45,,Aggregated,14.833333,0.000000,22,27,32,34,42,47,50,51,62,62,62,146,0,22,22.93401849277721,4.15699999575736,61.60489999456331,10290.883561643835
1789667330,50,,Aggregated,15.571429,0.000000,22,29,34,37,45,50,94,110,110,110,110,178,0,22,25.333625842291298,4.15699999575736,112.39389999536797,11760.691011235955
1789667331,50,,Aggregated,17.125000,0.000000,22,31,35,37,44,49,71,100,110,110,110,210,0,22,25.306982856688723,3.4090999979525805,112.39389999536797,12630.504761904762
1789667332,50,,Aggregated,17.555556,0.000000,24,32,37,39,48,71,96,100,110,110,110,234,0,24,27.31278717907023,3.4090999979525805,112.39389999536797,13287.081196581197
1789667333,50,,Aggregated,19.000000,0.000000,25,33,36,39,47,63,94,100,110,110,110,256,0,25,27.2657105464873,3.4090999979525805,112.39389999536797,14300.91015625
1789667334,50,,Aggregated,20.400000,0.000000,25,33,36,39,46,62,94,100,110,110,110,280,0,24,26.881093213991594,3.4090999979525805,112.39389999536797,14336.367857142857
1789667335,50,,Aggregated,21.600000,0.000000,26,34,37,39,47,63,89,99,110,110,110,304,0,26,27.526832894421347,3.4090999979525805,112.39389999536797,15122.983552631578
1789667336,50,,Aggregated,22.500000,0.000000,27,34,36,39,46,62,89,99,110,110,110,331,0,27,27.561699395437106,3.0773999969824217,112.39389999536797,15751.513595166163
1789667337,50,,Aggregated,23.500000,0.000000,27,34,36,39,47,63,89,99,110,110,110,353,0,27,27.649099149820547,3.0773999969824217,112.39389999536797,15932.609065155808
1789667338,50,,Aggregated,24.100000,0.000000,28,34,37,39,48,62,89,99,110,110,110,377,0,28,27.9731782490722,3.0773999969824217,112.39389999536797,16280.588859416446
1789667339,50,,Aggregated,24.400000,0.000000,28,34,37,39,47,61,89,99,110,110,110,398,0,28,27.790449497276207,3.0773999969824217,112.39389999536797,16614.55527638191
1789667340,50,,Aggregated,24.500000,0.000000,29,34,37,39,48,63,89,96,110,110,110,420,0,28,28.11645738079928,3.0773999969824217,112.39389999536797,16647.709523809524
1789667341,50,,Aggregated,24.400000,0.000000,29,34,37,39,47,61,89,96,110,110,110,450,0,29,27.94497399987045,2.810199999657925,112.39389999536797,16891.257777777777
1789667342,50,,Aggregated,24.200000,0.000000,30,34,37,39,48,61,83,96,110,110,110,481,0,30,28.2744488564454,2.810199999657925,112.39389999536797,17153.912681912683
1789667343,50,,Aggregated,23.100000,0.000000,30,34,37,40,48,62,82,94,110,110,110,501,0,30,28.478556287278234,2.810199999657925,112.39389999536797,17357.42714570858
1789667344,50,,Aggregated,24.000000,0.000000,30,34,37,39,48,61,82,94,110,110,110,522,0,30,28.369525670338426,2.810199999657925,112.39389999536797,17575.47701149425
1789667345,50,,Aggregated,24.800000,0.000000,30,34,37,39,48,61,82,94,110,110,110,549,0,30,28.21313278673353,2.810199999657925,112.39389999536797,17532.981785063752
1789667346,50,,Aggregated,24.400000,0.000000,30,34,37,39,48,61,78,94,110,110,110,579,0,30,28.128374783963707,2.810199999657925,112.39389999536797,17693.357512953367
1789667347,50,,Aggregated,24.400000,0.000000,30,34,37,39,47,59,78,90,110,110,110,604,0,30,28.03851274823061,2.795600004901644,112.39389999536797,17821.405629139073
1789667348,50,,Aggregated,24.300000,0.000000,30,34,37,40,48,61,82,94,110,110,110,628,0,30,28.298746974391538,2.795600004901644,112.39389999536797,17862.81687898089
1789667349,50,,Aggregated,24.700000,0.000000,31,34,37,39,47,61,78,94,110,110,110,654,0,31,28.156488379082177,2.795600004901644,112.39389999536797,18050.970948012233
